Altitude_km,Mach_min,CL_max,V_min_ms
3.29817,0.1775,1.34812,58.11
3.30679,0.1776,1.34809,58.14
3.3154,0.1777,1.34806,58.17
3.32401,0.1778,1.34803,58.19
3.33261,0.1779,1.348,58.22
3.34121,0.178,1.34797,58.25
3.3498,0.1781,1.34794,58.27
3.35838,0.1782,1.34791,58.3
3.36695,0.1783,1.34788,58.33
3.37552,0.1784,1.34785,58.35
3.38408,0.1785,1.34782,58.38
3.39264,0.1786,1.34779,58.41
3.40119,0.1787,1.34776,58.43
3.40973,0.1788,1.34773,58.46
3.41826,0.1789,1.3477,58.49
3.42679,0.179,1.34767,58.51
3.43531,0.1791,1.34764,58.54
3.44382,0.1792,1.34761,58.57
3.45233,0.1793,1.34758,58.59
3.46083,0.1794,1.34756,58.62
3.46933,0.1795,1.34753,58.64
3.47782,0.1796,1.3475,58.67
3.4863,0.1797,1.34747,58.7
3.49477,0.1798,1.34744,58.72
3.50324,0.1799,1.34741,58.75
3.5117,0.18,1.34738,58.78
3.52016,0.1801,1.34735,58.8
3.52861,0.1802,1.34732,58.83
3.53705,0.1803,1.34729,58.86
3.54549,0.1804,1.34726,58.88
3.55392,0.1805,1.34723,58.91
3.56234,0.1806,1.3472,58.94
3.57076,0.1807,1.34717,58.96
3.57916,0.1808,1.34714,58.99
3.58757,0.1809,1.34711,59.02
3.59596,0.181,1.34708,59.04
3.60436,0.1811,1.34705,59.07
3.61274,0.1812,1.34702,59.1
3.62112,0.1813,1.34699,59.12
3.62949,0.1814,1.34696,59.15
3.63785,0.1815,1.34693,59.18
3.64621,0.1816,1.34691,59.2
3.65456,0.1817,1.34688,59.23
3.66291,0.1818,1.34685,59.26
3.67125,0.1819,1.34682,59.28
3.67958,0.182,1.34679,59.31
3.68791,0.1821,1.34676,59.34
3.69623,0.1822,1.34673,59.36
3.70454,0.1823,1.3467,59.39
3.71285,0.1824,1.34667,59.41
3.72115,0.1825,1.34664,59.44
3.72944,0.1826,1.34661,59.47
3.73773,0.1827,1.34658,59.49
3.74601,0.1828,1.34655,59.52
3.75429,0.1829,1.34652,59.55
3.76256,0.183,1.34649,59.57
3.77082,0.1831,1.34646,59.6
3.77907,0.1832,1.34643,59.63
3.78732,0.1833,1.3464,59.65
3.79557,0.1834,1.34637,59.68
3.80381,0.1835,1.34634,59.71
3.81204,0.1836,1.34631,59.73
3.82026,0.1837,1.34629,59.76
3.82848,0.1838,1.34626,59.79
3.83669,0.1839,1.34623,59.81
3.8449,0.184,1.3462,59.84
3.8531,0.1841,1.34617,59.86
3.8613,0.1842,1.34614,59.89
3.86948,0.1843,1.34611,59.92
3.87767,0.1844,1.34608,59.94
3.88584,0.1845,1.34605,59.97
3.89401,0.1846,1.34602,60.0
3.90217,0.1847,1.34599,60.02
3.91033,0.1848,1.34596,60.05
3.91848,0.1849,1.34593,60.08
3.92663,0.185,1.3459,60.1
3.93476,0.1851,1.34587,60.13
3.9429,0.1852,1.34584,60.16
3.95102,0.1853,1.34581,60.18
3.95914,0.1854,1.34578,60.21
3.96726,0.1855,1.34575,60.23
3.97537,0.1856,1.34572,60.26
3.98347,0.1857,1.34569,60.29
3.99156,0.1858,1.34566,60.31
3.99965,0.1859,1.34564,60.34
4.00774,0.186,1.34561,60.37
4.01581,0.1861,1.34558,60.39
4.02389,0.1862,1.34555,60.42
4.03195,0.1863,1.34552,60.45
4.04001,0.1864,1.34549,60.47
4.04807,0.1865,1.34546,60.5
4.05611,0.1866,1.34543,60.53
4.06415,0.1867,1.3454,60.55
4.07219,0.1868,1.34537,60.58
4.08022,0.1869,1.34534,60.6
4.08824,0.187,1.34531,60.63
4.09626,0.1871,1.34528,60.66
4.10427,0.1872,1.34525,60.68
4.11228,0.1873,1.34522,60.71
4.12028,0.1874,1.34519,60.74
4.12827,0.1875,1.34516,60.76
4.13626,0.1876,1.34513,60.79
4.14424,0.1877,1.3451,60.82
4.15222,0.1878,1.34507,60.84
4.16019,0.1879,1.34504,60.87
4.16815,0.188,1.34501,60.89
4.17611,0.1881,1.34499,60.92
4.18406,0.1882,1.34496,60.95
4.19201,0.1883,1.34493,60.97
4.19995,0.1884,1.3449,61.0
4.20788,0.1885,1.34487,61.03
4.21581,0.1886,1.34484,61.05
4.22373,0.1887,1.34481,61.08
4.23165,0.1888,1.34478,61.11
4.23956,0.1889,1.34475,61.13
4.24747,0.189,1.34472,61.16
4.25537,0.1891,1.34469,61.18
4.26326,0.1892,1.34466,61.21
4.27115,0.1893,1.34463,61.24
4.27903,0.1894,1.3446,61.26
4.28691,0.1895,1.34457,61.29
4.29478,0.1896,1.34454,61.32
4.30264,0.1897,1.34451,61.34
4.3105,0.1898,1.34448,61.37
4.31835,0.1899,1.34445,61.39
4.3262,0.19,1.34442,61.42
4.33404,0.1901,1.34439,61.45
4.34188,0.1902,1.34436,61.47
4.34971,0.1903,1.34434,61.5
4.35753,0.1904,1.34431,61.53
4.36535,0.1905,1.34428,61.55
4.37316,0.1906,1.34425,61.58
4.38097,0.1907,1.34422,61.61
4.38877,0.1908,1.34419,61.63
4.39657,0.1909,1.34416,61.66
4.40436,0.191,1.34413,61.68
4.41214,0.1911,1.3441,61.71
4.41992,0.1912,1.34407,61.74
4.42769,0.1913,1.34404,61.76
4.43546,0.1914,1.34401,61.79
4.44322,0.1915,1.34398,61.82
4.45098,0.1916,1.34395,61.84
4.45873,0.1917,1.34392,61.87
4.46647,0.1918,1.34389,61.89
4.47421,0.1919,1.34386,61.92
4.48195,0.192,1.34383,61.95
4.48967,0.1921,1.3438,61.97
4.4974,0.1922,1.34377,62.0
4.50511,0.1923,1.34374,62.03
4.51282,0.1924,1.34372,62.05
4.52053,0.1925,1.34369,62.08
4.52823,0.1926,1.34366,62.1
4.53592,0.1927,1.34363,62.13
4.54361,0.1928,1.3436,62.16
4.5513,0.1929,1.34357,62.18
4.55897,0.193,1.34354,62.21
4.56665,0.1931,1.34351,62.24
4.57431,0.1932,1.34348,62.26
4.58197,0.1933,1.34345,62.29
4.58963,0.1934,1.34342,62.31
4.59728,0.1935,1.34339,62.34
4.60492,0.1936,1.34336,62.37
4.61256,0.1937,1.34333,62.39
4.6202,0.1938,1.3433,62.42
4.62782,0.1939,1.34327,62.45
4.63545,0.194,1.34324,62.47
4.64306,0.1941,1.34321,62.5
4.65067,0.1942,1.34318,62.52
4.65828,0.1943,1.34315,62.55
4.66588,0.1944,1.34312,62.58
4.67348,0.1945,1.34309,62.6
4.68107,0.1946,1.34307,62.63
4.68865,0.1947,1.34304,62.65
4.69623,0.1948,1.34301,62.68
4.7038,0.1949,1.34298,62.71
4.71137,0.195,1.34295,62.73
4.71893,0.1951,1.34292,62.76
4.72649,0.1952,1.34289,62.79
4.73404,0.1953,1.34286,62.81
4.74159,0.1954,1.34283,62.84
4.74913,0.1955,1.3428,62.86
4.75666,0.1956,1.34277,62.89
4.76419,0.1957,1.34274,62.92
4.77172,0.1958,1.34271,62.94
4.77924,0.1959,1.34268,62.97
4.78675,0.196,1.34265,62.99
4.79426,0.1961,1.34262,63.02
4.80177,0.1962,1.34259,63.05
4.80926,0.1963,1.34256,63.07
4.81676,0.1964,1.34253,63.1
4.82424,0.1965,1.3425,63.13
4.83173,0.1966,1.34247,63.15
4.8392,0.1967,1.34244,63.18
4.84667,0.1968,1.34242,63.2
4.85414,0.1969,1.34239,63.23
4.8616,0.197,1.34236,63.26
4.86906,0.1971,1.34233,63.28
4.87651,0.1972,1.3423,63.31
4.88395,0.1973,1.34227,63.33
4.89139,0.1974,1.34224,63.36
4.89883,0.1975,1.34221,63.39
4.90626,0.1976,1.34218,63.41
4.91368,0.1977,1.34215,63.44
4.9211,0.1978,1.34212,63.47
4.92851,0.1979,1.34209,63.49
4.93592,0.198,1.34206,63.52
4.94332,0.1981,1.34203,63.54
4.95072,0.1982,1.342,63.57
4.95812,0.1983,1.34197,63.6
4.9655,0.1984,1.34194,63.62
4.97289,0.1985,1.34191,63.65
4.98026,0.1986,1.34188,63.67
4.98763,0.1987,1.34185,63.7
4.995,0.1988,1.34182,63.73
5.00236,0.1989,1.34179,63.75
5.00972,0.199,1.34177,63.78
5.01707,0.1991,1.34174,63.8
5.02442,0.1992,1.34171,63.83
5.03176,0.1993,1.34168,63.86
5.03909,0.1994,1.34165,63.88
5.04642,0.1995,1.34162,63.91
5.05375,0.1996,1.34159,63.94
5.06107,0.1997,1.34156,63.96
5.06839,0.1998,1.34153,63.99
5.0757,0.1999,1.3415,64.01
5.083,0.2,1.34147,64.04
5.09028,0.2001,1.34144,64.07
5.09755,0.2002,1.3414,64.09
5.10482,0.2003,1.34137,64.12
5.11208,0.2004,1.34134,64.14
5.11934,0.2005,1.3413,64.17
5.1266,0.2006,1.34127,64.2
5.13384,0.2007,1.34124,64.22
5.14109,0.2008,1.3412,64.25
5.14832,0.2009,1.34117,64.27
5.15556,0.201,1.34114,64.3
5.16279,0.2011,1.3411,64.33
5.17001,0.2012,1.34107,64.35
5.17723,0.2013,1.34104,64.38
5.18444,0.2014,1.341,64.4
5.19165,0.2015,1.34097,64.43
5.19885,0.2016,1.34093,64.46
5.20605,0.2017,1.3409,64.48
5.21324,0.2018,1.34087,64.51
5.22043,0.2019,1.34083,64.53
5.22761,0.202,1.3408,64.56
5.23479,0.2021,1.34077,64.59
5.24196,0.2022,1.34073,64.61
5.24913,0.2023,1.3407,64.64
5.25629,0.2024,1.34067,64.66
5.26345,0.2025,1.34063,64.69
5.2706,0.2026,1.3406,64.72
5.27775,0.2027,1.34057,64.74
5.28489,0.2028,1.34053,64.77
5.29203,0.2029,1.3405,64.79
5.29917,0.203,1.34047,64.82
5.30629,0.2031,1.34043,64.85
5.31342,0.2032,1.3404,64.87
5.32054,0.2033,1.34037,64.9
5.32765,0.2034,1.34033,64.92
5.33476,0.2035,1.3403,64.95
5.34186,0.2036,1.34027,64.98
5.34896,0.2037,1.34023,65.0
5.35606,0.2038,1.3402,65.03
5.36315,0.2039,1.34017,65.05
5.37023,0.204,1.34013,65.08
5.37731,0.2041,1.3401,65.11
5.38438,0.2042,1.34007,65.13
5.39145,0.2043,1.34003,65.16
5.39852,0.2044,1.34,65.18
5.40558,0.2045,1.33996,65.21
5.41264,0.2046,1.33993,65.24
5.41969,0.2047,1.3399,65.26
5.42673,0.2048,1.33986,65.29
5.43377,0.2049,1.33983,65.31
5.44081,0.205,1.3398,65.34
5.44784,0.2051,1.33976,65.37
5.45487,0.2052,1.33973,65.39
5.46189,0.2053,1.3397,65.42
5.46891,0.2054,1.33966,65.44
5.47592,0.2055,1.33963,65.47
5.48293,0.2056,1.3396,65.5
5.48993,0.2057,1.33956,65.52
5.49693,0.2058,1.33953,65.55
5.50392,0.2059,1.3395,65.57
5.51091,0.206,1.33946,65.6
5.51789,0.2061,1.33943,65.63
5.52487,0.2062,1.3394,65.65
5.53185,0.2063,1.33936,65.68
5.53882,0.2064,1.33933,65.7
5.54578,0.2065,1.3393,65.73
5.55274,0.2066,1.33926,65.76
5.5597,0.2067,1.33923,65.78
5.56665,0.2068,1.3392,65.81
5.57359,0.2069,1.33916,65.83
5.58053,0.207,1.33913,65.86
5.58747,0.2071,1.3391,65.89
5.5944,0.2072,1.33906,65.91
5.60133,0.2073,1.33903,65.94
5.60825,0.2074,1.33899,65.96
5.61517,0.2075,1.33896,65.99
5.62208,0.2076,1.33893,66.01
5.62899,0.2077,1.33889,66.04
5.6359,0.2078,1.33886,66.07
5.6428,0.2079,1.33883,66.09
5.64969,0.208,1.33879,66.12
5.65658,0.2081,1.33876,66.14
5.66347,0.2082,1.33873,66.17
5.67035,0.2083,1.33869,66.2
5.67722,0.2084,1.33866,66.22
5.68409,0.2085,1.33863,66.25
5.69096,0.2086,1.33859,66.27
5.69782,0.2087,1.33856,66.3
5.70468,0.2088,1.33853,66.33
5.71153,0.2089,1.33849,66.35
5.71838,0.209,1.33846,66.38
5.72523,0.2091,1.33843,66.4
5.73207,0.2092,1.33839,66.43
5.7389,0.2093,1.33836,66.45
5.74573,0.2094,1.33833,66.48
5.75256,0.2095,1.33829,66.51
5.75938,0.2096,1.33826,66.53
5.76619,0.2097,1.33823,66.56
5.77301,0.2098,1.33819,66.58
5.77981,0.2099,1.33816,66.61
5.78662,0.21,1.33813,66.64
5.79342,0.2101,1.33809,66.66
5.80021,0.2102,1.33806,66.69
5.807,0.2103,1.33802,66.71
5.81378,0.2104,1.33799,66.74
5.82056,0.2105,1.33796,66.77
5.82734,0.2106,1.33792,66.79
5.83411,0.2107,1.33789,66.82
5.84088,0.2108,1.33786,66.84
5.84764,0.2109,1.33782,66.87
5.8544,0.211,1.33779,66.89
5.86115,0.2111,1.33776,66.92
5.8679,0.2112,1.33772,66.95
5.87465,0.2113,1.33769,66.97
5.88139,0.2114,1.33766,67.0
5.88812,0.2115,1.33762,67.02
5.89485,0.2116,1.33759,67.05
5.90158,0.2117,1.33756,67.08
5.9083,0.2118,1.33752,67.1
5.91502,0.2119,1.33749,67.13
5.92173,0.212,1.33746,67.15
5.92844,0.2121,1.33742,67.18
5.93515,0.2122,1.33739,67.2
5.94185,0.2123,1.33736,67.23
5.94854,0.2124,1.33732,67.26
5.95523,0.2125,1.33729,67.28
5.96192,0.2126,1.33726,67.31
5.9686,0.2127,1.33722,67.33
5.97528,0.2128,1.33719,67.36
5.98195,0.2129,1.33715,67.38
5.98862,0.213,1.33712,67.41
5.99529,0.2131,1.33709,67.44
6.00195,0.2132,1.33705,67.46
6.0086,0.2133,1.33702,67.49
6.01526,0.2134,1.33699,67.51
6.0219,0.2135,1.33695,67.54
6.02855,0.2136,1.33692,67.57
6.03518,0.2137,1.33689,67.59
6.04182,0.2138,1.33685,67.62
6.04845,0.2139,1.33682,67.64
6.05507,0.214,1.33679,67.67
6.0617,0.2141,1.33675,67.69
6.06831,0.2142,1.33672,67.72
6.07493,0.2143,1.33669,67.75
6.08153,0.2144,1.33665,67.77
6.08814,0.2145,1.33662,67.8
6.09474,0.2146,1.33659,67.82
6.10133,0.2147,1.33655,67.85
6.10793,0.2148,1.33652,67.87
6.11451,0.2149,1.33649,67.9
6.12109,0.215,1.33645,67.93
6.12767,0.2151,1.33642,67.95
6.13425,0.2152,1.33639,67.98
6.14082,0.2153,1.33635,68.0
6.14738,0.2154,1.33632,68.03
6.15394,0.2155,1.33629,68.05
6.1605,0.2156,1.33625,68.08
6.16705,0.2157,1.33622,68.11
6.1736,0.2158,1.33618,68.13
6.18015,0.2159,1.33615,68.16
6.18669,0.216,1.33612,68.18
6.19322,0.2161,1.33608,68.21
6.19975,0.2162,1.33605,68.23
6.20628,0.2163,1.33602,68.26
6.2128,0.2164,1.33598,68.29
6.21932,0.2165,1.33595,68.31
6.22584,0.2166,1.33592,68.34
6.23235,0.2167,1.33588,68.36
6.23885,0.2168,1.33585,68.39
6.24536,0.2169,1.33582,68.41
6.25185,0.217,1.33578,68.44
6.25835,0.2171,1.33575,68.47
6.26484,0.2172,1.33572,68.49
6.27132,0.2173,1.33568,68.52
6.2778,0.2174,1.33565,68.54
6.28428,0.2175,1.33562,68.57
6.29075,0.2176,1.33558,68.59
6.29722,0.2177,1.33555,68.62
